https://schema.org/identifier,https://schema.org/name,https://schema.org/alternateName,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/image,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/publishingPrinciples,https://schema.org/isBasedOnUrl
71,桐原 光洋,きりはら みつひろ,地域情報化アドバイザー,元 熊本市 情報システム統括担当首席審議員,中小企業診断士事務所ナレッジケース 代表,https://code4sabae.github.io/ictadvisors/img/2021/AD071.jpg,防災,人材の育成・活用,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/071_2021adviser.pdf,https://www.applic.or.jp/page-1862/
72,日下 光,くさか ひかる,地域情報化アドバイザー,xID株式会社 代表取締役CEO,石川県加賀市 地方創生推進(デジタル化・スマートシティ)フェロー,https://code4sabae.github.io/ictadvisors/img/2021/AD072.jpg,マイナンバー,スマートシティ,デジタルアーカイブ／図書館,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/072_2021adviser.pdf,https://www.applic.or.jp/page-1862/
73,楠 正憲,くすのき まさのり,地域情報化アドバイザー,一般社団法人OpenIDファウンデーションジャパン 代表理事,福岡市 政策アドバイザー（ICT）,https://code4sabae.github.io/ictadvisors/img/2021/AD073.jpg,マイナンバー,自治体システム／セキュリティ／地域情報プラットフォーム,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/073_2021adviser.pdf,https://www.applic.or.jp/page-1862/
74,小泉 勝志郎,こいずみ かつしろう,地域情報化アドバイザー,株式会社テセラクト 代表取締役社長,一般社団法人コード・フォー・ジャパン 理事,https://code4sabae.github.io/ictadvisors/img/2021/AD074.jpg,教育情報化／情報教育,オープンデータ,地域ビジネス,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/074_2021adviser.pdf,https://www.applic.or.jp/page-1862/
75,小出 範幸,こいで のりゆき,地域情報化アドバイザー,株式会社KDDIウェブコミュニケーションズ 新規事業開発 プロダクトマネージャー,新規事業開発 農業IoT『てるちゃん』,https://code4sabae.github.io/ictadvisors/img/2021/AD075.jpg,農林水産業,地域ビジネス,その他,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/075_2021adviser.pdf,https://www.applic.or.jp/page-1862/
76,甲田 恵子,こうだ けいこ,地域情報化アドバイザー,株式会社ＡｓＭａｍａ 代表取締役社長,一般社団法人 シェアリングエコノミー協会 理事,https://code4sabae.github.io/ictadvisors/img/2021/AD076.jpg,子育て,シェアリングエコノミー,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/076_2021adviser.pdf,https://www.applic.or.jp/page-1862/
77,國領 二郎,こくりょう じろう,地域情報化アドバイザー,慶應義塾大学総合政策学部 教授,慶應義塾 常任理事,https://code4sabae.github.io/ictadvisors/img/2021/AD077.jpg,地域情報化計画・官民データ計画,シェアリングエコノミー,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/077_2021adviser.pdf,https://www.applic.or.jp/page-1862/
78,木暮 祐一,こぐれ ゆういち,地域情報化アドバイザー,ソフトバンク株式会社 渉外本部 デジタル社会推進課 担当部長,青森公立大学、徳島大学、熊本大学 非常勤講師,https://code4sabae.github.io/ictadvisors/img/2021/AD078.jpg,地域ビジネス,医療・介護・健康,働き方,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/078_2021adviser.pdf,https://www.applic.or.jp/page-1862/
79,小塩 篤史,こしお あつし,地域情報化アドバイザー,神戸情報大学院大学 客員教授,株式会社IF 代表取締役,https://code4sabae.github.io/ictadvisors/img/2021/AD079.jpg,ＡＩ活用,医療・介護・健康,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/079_2021adviser.pdf,https://www.applic.or.jp/page-1862/
80,児玉 知浩,こだま ともひろ,地域情報化アドバイザー,株式会社INFORICH 取締役社長CEO,株式会社Practechs 社外取締役,https://code4sabae.github.io/ictadvisors/img/2021/AD080.jpg,シェアリングエコノミー,地域ビジネス,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/080_2021adviser.pdf,https://www.applic.or.jp/page-1862/
81,後藤 玲子,ごとう れいこ,地域情報化アドバイザー,茨城大学人文社会科学部 教授,,https://code4sabae.github.io/ictadvisors/img/2021/AD081.jpg,ＥＢＰＭ（エビデンスに基づく政策立案）,オープンデータ,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/081_2021adviser.pdf,https://www.applic.or.jp/page-1862/
82,小林 一樹,こばやし かずき,地域情報化アドバイザー,信州大学 学術研究院 (工学系) 教授,信州大学 先鋭領域融合研究群 社会基盤研究所 AI・ロボティクス部門 AI・ロボティクス部門 部門長,https://code4sabae.github.io/ictadvisors/img/2021/AD082.jpg,農林水産業,ＡＩ活用,教育情報化／情報教育,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/082_2021adviser.pdf,https://www.applic.or.jp/page-1862/
83,小林 隆,こばやし たかし,地域情報化アドバイザー,東海大学政治経済学部（元自治体職員） 教授,東海大学大学院法学研究科 科長,https://code4sabae.github.io/ictadvisors/img/2021/AD083.jpg,地域情報化計画・官民データ計画,人材の育成・活用,ＡＩ活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/083_2021adviser.pdf,https://www.applic.or.jp/page-1862/
84,小林 忠男,こばやし ただお,地域情報化アドバイザー,一般社団法人無線LANビジネス推進連絡会 顧問,802.11ah推進協議会 会長,https://code4sabae.github.io/ictadvisors/img/2021/AD084.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,５Ｇ,テレワーク,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/084_2021adviser.pdf,https://www.applic.or.jp/page-1862/
85,小林 正幸,こばやし まさゆき,地域情報化アドバイザー,元(一財)マルチメディア振興センター 担当部長,,https://code4sabae.github.io/ictadvisors/img/2021/AD085.jpg,防災,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/085_2021adviser.pdf,https://www.applic.or.jp/page-1862/
86,米谷 雄介,こめたに ゆうすけ,地域情報化アドバイザー,香川大学創造工学部 講師,香川大学情報メディアセンター 講師,https://code4sabae.github.io/ictadvisors/img/2021/AD086.jpg,オープンデータ,自治体システム／セキュリティ／地域情報プラットフォーム,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/086_2021adviser.pdf,https://www.applic.or.jp/page-1862/
87,酒井 紀之,さかい のりゆき,地域情報化アドバイザー,株式会社ソフトウエア開発 代表取締役社長,東北情報通信懇談会事務局長 多摩大学情報社会学研究所 客員研究員,https://code4sabae.github.io/ictadvisors/img/2021/AD087.jpg,防災,テレワーク,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/087_2021adviser.pdf,https://www.applic.or.jp/page-1862/
88,坂下 知司,さかした さとし,地域情報化アドバイザー,元 町田市役所 総務部 情報システム課 担当部長（CIO補佐官）,東京IT経営研究所 代表,https://code4sabae.github.io/ictadvisors/img/2021/AD088.jpg,地域情報化計画・官民データ計画,自治体システムの標準化・共通化,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/088_2021adviser.pdf,https://www.applic.or.jp/page-1862/
89,坂本 世津夫,さかもとせつお,地域情報化アドバイザー,愛媛大学社会連携推進機構 教授,愛媛大学地域協働センター南予 副センター長,https://code4sabae.github.io/ictadvisors/img/2021/AD089.jpg,働き方,テレワーク,観光,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/089_2021adviser.pdf,https://www.applic.or.jp/page-1862/
90,崎山 雅子,さきやま まさこ,地域情報化アドバイザー,高知県南国市 市民課長,,https://code4sabae.github.io/ictadvisors/img/2021/AD090.jpg,自治体システムの標準化・共通化,地域情報化計画・官民データ計画,マイキープラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/090_2021adviser.pdf,https://www.applic.or.jp/page-1862/
91,佐々木 良昭,ささき よしあき,地域情報化アドバイザー,富士ソフト企画㈱ アグリビジネスグループ 部長,特定非営利活動法人 ＩＴ工房ひのき 理事,https://code4sabae.github.io/ictadvisors/img/2021/AD091.jpg,農林水産業,テレワーク,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/091_2021adviser.pdf,https://www.applic.or.jp/page-1862/
92,佐藤 拓也,さとう たくや,地域情報化アドバイザー,YuMake合同会社 代表社員 CEO,一般社団法人コード・フォー・ジャパン フェロー,https://code4sabae.github.io/ictadvisors/img/2021/AD092.jpg,オープンデータ,ＥＢＰＭ（エビデンスに基づく政策立案）,防災,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/092_2021adviser.pdf,https://www.applic.or.jp/page-1862/
93,佐藤 泰格,さとう ひろのり,地域情報化アドバイザー,マイキープラットフォームアドバイザー,都城市総合政策部デジタル統括課 副主幹,https://code4sabae.github.io/ictadvisors/img/2021/AD093.jpg,マイキープラットフォーム,マイナンバー,その他,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/093_2021adviser.pdf,https://www.applic.or.jp/page-1862/
94,佐別当 隆志,さべっとう たかし,地域情報化アドバイザー,一般社団法人シェアリングエコノミー協会 幹事,株式会社アドレス 代表取締役社長,https://code4sabae.github.io/ictadvisors/img/2021/AD094.jpg,シェアリングエコノミー,地域ビジネス,働き方,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/094_2021adviser.pdf,https://www.applic.or.jp/page-1862/
95,三瓶 政一,さんぺい せいいち,地域情報化アドバイザー,大阪大学 大学院工学研究科 電気電子情報通信工学専攻 教授,情報通信審議会 委員,https://code4sabae.github.io/ictadvisors/img/2021/AD095.jpg,５Ｇ,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/095_2021adviser.pdf,https://www.applic.or.jp/page-1862/
96,実積 寿也,じつづみ としや,地域情報化アドバイザー,中央大学 教授,,https://code4sabae.github.io/ictadvisors/img/2021/AD096.jpg,ＡＩ活用,スマートシティ,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/096_2021adviser.pdf,https://www.applic.or.jp/page-1862/
97,島田 由香,しまだ ゆか,地域情報化アドバイザー,ユニリーバ・ジャパン・ホールディングス株式会社 取締役人事総務本部長,Team WAA! オーガナイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD097.jpg,人材の育成・活用,働き方,テレワーク,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/097_2021adviser.pdf,https://www.applic.or.jp/page-1862/
98,下村 瑛史,しもむら えいじ,地域情報化アドバイザー,株式会社ファームノート 代表取締役,,https://code4sabae.github.io/ictadvisors/img/2021/AD098.jpg,ＡＩ活用,人材の育成・活用,地域ビジネス,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/098_2021adviser.pdf,https://www.applic.or.jp/page-1862/
99,下山 紗代子,しもやま さよこ,地域情報化アドバイザー,内閣官房IT室 政府CIO補佐官/オープンデータ伝道師,一般社団法人リンクデータ 代表理事,https://code4sabae.github.io/ictadvisors/img/2021/AD099.jpg,オープンデータ,ＥＢＰＭ（エビデンスに基づく政策立案）,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/099_2021adviser.pdf,https://www.applic.or.jp/page-1862/
100,庄司 昌彦,しょうじ まさひこ,地域情報化アドバイザー,内閣官房IT総合戦略室 オープンデータ伝道師,武蔵大学社会学部メディア社会学科 教授,https://code4sabae.github.io/ictadvisors/img/2021/AD100.jpg,オープンデータ,地域情報化計画・官民データ計画,自治体システムの標準化・共通化,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/100_2021adviser.pdf,https://www.applic.or.jp/page-1862/
101,荘司 洋三,しょうじ ようぞう,地域情報化アドバイザー,国立研究開発法人 情報通信研究機構 ソーシャルICTシステム研究室 室長,,https://code4sabae.github.io/ictadvisors/img/2021/AD101.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,５Ｇ,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/101_2021adviser.pdf,https://www.applic.or.jp/page-1862/
102,白井 芳明,しらい よしあき,地域情報化アドバイザー,東日本電信電話株式会社北海道事業部BI部 カスタマーリレーショングループ長,株式会社HARP エグゼクティブアドバイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD102.jpg,自治体システムの標準化・共通化,自治体システム／セキュリティ／地域情報プラットフォーム,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/102_2021adviser.pdf,https://www.applic.or.jp/page-1862/
103,新庄 大輔,しんじょう だいすけ,地域情報化アドバイザー,静岡市企画局デジタル化推進課 地域デジタル化推進係長,,https://code4sabae.github.io/ictadvisors/img/2021/AD103.jpg,オープンデータ,防災,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/103_2021adviser.pdf,https://www.applic.or.jp/page-1862/
104,杉本 直也,すぎもと なおや,地域情報化アドバイザー,静岡県交通基盤部政策管理局建設政策課イノベーション推進班 班長,静岡大学プロジェクト研究所（土木情報学研究所） 客員教授,https://code4sabae.github.io/ictadvisors/img/2021/AD104.jpg,スマートシティ,オープンデータ,防災,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/104_2021adviser.pdf,https://www.applic.or.jp/page-1862/
105,鈴木 邦治,すずき くにはる,地域情報化アドバイザー,元名護市企画部 金融特区・情報化推進室 室長 内閣府 地域活性化伝道師,総務省 地域力創造アドバイザー 宜野座村むらづくりアドバイザー,https://code4sabae.github.io/ictadvisors/img/2021/AD105.jpg,人材の育成・活用,その他,農林水産業,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/105_2021adviser.pdf,https://www.applic.or.jp/page-1862/
106,隅田 徹,すみた てつ,地域情報化アドバイザー,株式会社えんがわ 代表取締役社長,株式会社プラットイーズ 取締役会長,https://code4sabae.github.io/ictadvisors/img/2021/AD106.jpg,テレワーク,デジタルアーカイブ／図書館,働き方,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/106_2021adviser.pdf,https://www.applic.or.jp/page-1862/
107,関 治之,せき はるゆき,地域情報化アドバイザー,内閣官房IT総合戦略室 オープンデータ伝道師、CIO補佐官,一般社団法人コード・フォー・ジャパン 代表理事,https://code4sabae.github.io/ictadvisors/img/2021/AD107.jpg,スマートシティ,オープンデータ,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/107_2021adviser.pdf,https://www.applic.or.jp/page-1862/
108,関本 義秀,せきもと よしひで,地域情報化アドバイザー,東京大学生産技術研究所 人間・社会系部門 准教授,アーバンデータチャレンジ実行委員長,https://code4sabae.github.io/ictadvisors/img/2021/AD108.jpg,スマートシティ,ＡＩ活用,シェアリングエコノミー,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/108_2021adviser.pdf,https://www.applic.or.jp/page-1862/
109,瀬戸 寿一,せと としかず,地域情報化アドバイザー,駒澤大学文学部地理学科 准教授,東京大学空間情報科学研究センター 客員研究員,https://code4sabae.github.io/ictadvisors/img/2021/AD109.jpg,オープンデータ,スマートシティ,ＥＢＰＭ（エビデンスに基づく政策立案）,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/109_2021adviser.pdf,https://www.applic.or.jp/page-1862/
110,高野 雅晴,たかの まさはる,地域情報化アドバイザー,株式会社ビットメディア 代表取締役社長,第５世代モバイル推進フォーラム（5GMF） アプリケーション委員会 利用シーンWG主査,https://code4sabae.github.io/ictadvisors/img/2021/AD110.jpg,スマートシティ,５Ｇ,５Ｇ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/110_2021adviser.pdf,https://www.applic.or.jp/page-1862/
111,高橋 明子,たかはしあきこ,地域情報化アドバイザー,株式会社エンパブリック コーディネーター,亜細亜大学都市創造学部 非常勤講師,https://code4sabae.github.io/ictadvisors/img/2021/AD111.jpg,人材の育成・活用,地域情報化計画・官民データ計画,教育情報化／情報教育,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/111_2021adviser.pdf,https://www.applic.or.jp/page-1862/
112,髙橋 邦夫,たかはし くにお,地域情報化アドバイザー,元自治体職員（29年勤務） 元豊島区ＣＩＳＯ,合同会社ＫＵコンサルティング 代表社員,https://code4sabae.github.io/ictadvisors/img/2021/AD112.jpg,働き方,自治体システム／セキュリティ／地域情報プラットフォーム,マイキープラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/112_2021adviser.pdf,https://www.applic.or.jp/page-1862/
113,高橋 俊之,たかはしとしゆき,地域情報化アドバイザー,新エネルギー・産業技術総合開発機構（NEDO） リスク管理統括部 専門調査員,元 会計検査院 調査官,https://code4sabae.github.io/ictadvisors/img/2021/AD113.jpg,自治体システム／セキュリティ／地域情報プラットフォーム,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,５Ｇ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/113_2021adviser.pdf,https://www.applic.or.jp/page-1862/
114,高村 弘史,たかむら こおし,地域情報化アドバイザー,株式会社日本コンサルタントグループ 地域情報化支援室 室長,,https://code4sabae.github.io/ictadvisors/img/2021/AD114.jpg,人材の育成・活用,マイナンバー,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/114_2021adviser.pdf,https://www.applic.or.jp/page-1862/
115,武田 かおり,たけだかおり,地域情報化アドバイザー,社会保険労務士法人ＮＳＲ テレワークスタイル推進室 CWO 社会保険労務士,一般社団法人 日本テレワーク協会 テレワーク相談センター テレワーク専門コンサルタント,https://code4sabae.github.io/ictadvisors/img/2021/AD115.jpg,テレワーク,働き方,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/115_2021adviser.pdf,https://www.applic.or.jp/page-1862/
116,武田 一樹,たけだ かずき,地域情報化アドバイザー,クアルコムジャパン合同会社,,https://code4sabae.github.io/ictadvisors/img/2021/AD116.jpg,５Ｇ,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/116_2021adviser.pdf,https://www.applic.or.jp/page-1862/
117,田澤 由利,たざわ ゆり,地域情報化アドバイザー,株式会社テレワークマネジメント 代表取締役,株式会社ワイズスタッフ 代表取締役,https://code4sabae.github.io/ictadvisors/img/2021/AD117.jpg,テレワーク,働き方,教育情報化／情報教育,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/117_2021adviser.pdf,https://www.applic.or.jp/page-1862/
118,多田 功,ただ いさお,地域情報化アドバイザー,加古川市企画部政策企画課 スマートシティ推進担当課長,,https://code4sabae.github.io/ictadvisors/img/2021/AD118.jpg,スマートシティ,ＲＰＡ導入,オープンデータ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/118_2021adviser.pdf,https://www.applic.or.jp/page-1862/
119,多田 満朗,ただ みつお,地域情報化アドバイザー,ゼロスペック株式会社 代表取締役,,https://code4sabae.github.io/ictadvisors/img/2021/AD119.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,働き方,ＡＩ活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/119_2021adviser.pdf,https://www.applic.or.jp/page-1862/
120,田中 淳一,たなか じゅんいち,地域情報化アドバイザー,三重県 CDO（最高デジタル責任者）兼 デジタル社会推進局長,内閣府 地域活性化伝道師,https://code4sabae.github.io/ictadvisors/img/2021/AD120.jpg,スマートシティ,地域ビジネス,シェアリングエコノミー,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/120_2021adviser.pdf,https://www.applic.or.jp/page-1862/
121,種子野 亮,たねの りょう,地域情報化アドバイザー,株式会社バーチャルクラフト 取締役副社長 執行・戦略責任者,内閣官房IT室 政府CIO補佐官 (農林水産省担当),https://code4sabae.github.io/ictadvisors/img/2021/AD121.jpg,農林水産業,人材の育成・活用,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/121_2021adviser.pdf,https://www.applic.or.jp/page-1862/
122,田村 吾郎,たむら ごろう,地域情報化アドバイザー,東京工科大学デザイン学部 准教授,株式会社TOM’S 経営企画室長（兼）、デザインセンター長（兼）,https://code4sabae.github.io/ictadvisors/img/2021/AD122.jpg,地域ビジネス,観光,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/122_2021adviser.pdf,https://www.applic.or.jp/page-1862/
123,千葉 大右,ちば だいすけ,地域情報化アドバイザー,船橋市総務部情報システム課 課長補佐,NPO法人デジタルガバメントラボ 代表理事,https://code4sabae.github.io/ictadvisors/img/2021/AD123.jpg,自治体システムの標準化・共通化,マイナンバー,ＲＰＡ導入,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/123_2021adviser.pdf,https://www.applic.or.jp/page-1862/
124,柘植 良吾,つげ りょうご,地域情報化アドバイザー,中津川市定住推進部定住推進課 係長,標準的なバス情報フォーマット広め隊,https://code4sabae.github.io/ictadvisors/img/2021/AD124.jpg,オープンデータ,観光,地域ビジネス,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/124_2021adviser.pdf,https://www.applic.or.jp/page-1862/
125,筒井 大介,つつい だいすけ,地域情報化アドバイザー,芦屋市役所 企画部 政策推進課 主査,Code for Kobe,https://code4sabae.github.io/ictadvisors/img/2021/AD125.jpg,人材の育成・活用,ＥＢＰＭ（エビデンスに基づく政策立案）,オープンデータ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/125_2021adviser.pdf,https://www.applic.or.jp/page-1862/
126,坪田 知己,つぼた ともみ,地域情報化アドバイザー,慶應義塾大学SFC研究所 研究員,内閣府 地域活性化伝道師,https://code4sabae.github.io/ictadvisors/img/2021/AD126.jpg,教育情報化／情報教育,観光,テレワーク,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/126_2021adviser.pdf,https://www.applic.or.jp/page-1862/
127,積田 有平,つみた ゆうへい,地域情報化アドバイザー,株式会社スペースマーケット 経営企画兼公共政策ディレクター,一般社団法人シェアリングエコノミー協会 シェアリングシティ統括ディレクター,https://code4sabae.github.io/ictadvisors/img/2021/AD127.jpg,シェアリングエコノミー,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/127_2021adviser.pdf,https://www.applic.or.jp/page-1862/
128,友岡 史仁,ともおか ふみと,地域情報化アドバイザー,日本大学法学部 教授,,https://code4sabae.github.io/ictadvisors/img/2021/AD128.jpg,個人情報保護,オープンデータ,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/128_2021adviser.pdf,https://www.applic.or.jp/page-1862/
129,中尾 彰宏,なかお あきひろ,地域情報化アドバイザー,東京大学教授 東京大学総長特任補佐,第五世代モバイル通信推進フォーラム ネットワーク委員会委員長,https://code4sabae.github.io/ictadvisors/img/2021/AD129.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,農林水産業,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/129_2021adviser.pdf,https://www.applic.or.jp/page-1862/
130,中川 斉史,なかがわひとし,地域情報化アドバイザー,上板町立高志小学校 校長,教育情報化コーディネータ 1級,https://code4sabae.github.io/ictadvisors/img/2021/AD130.jpg,教育情報化／情報教育,子育て,地域ビジネス,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/130_2021adviser.pdf,https://www.applic.or.jp/page-1862/
131,中窪 悟,なかくぼさとる,地域情報化アドバイザー,肝付町役場 デジタル推進課 課長補佐兼デジタル推進係長,,https://code4sabae.github.io/ictadvisors/img/2021/AD131.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,自治体システム／セキュリティ／地域情報プラットフォーム,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/131_2021adviser.pdf,https://www.applic.or.jp/page-1862/
132,中山 健太,なかやま けんた,地域情報化アドバイザー,宇城市企画部企画課 係長,,https://code4sabae.github.io/ictadvisors/img/2021/AD132.jpg,ＲＰＡ導入,ＡＩ活用,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/132_2021adviser.pdf,https://www.applic.or.jp/page-1862/
133,波平 三雄,なみひら みつお,地域情報化アドバイザー,株式会社HFシステム沖縄支店 執行役員沖縄支店長（元自治体職員）,一般社団沖縄県情報産業協会地域情報化委員会 副委員長,https://code4sabae.github.io/ictadvisors/img/2021/AD133.jpg,ネットワークインフラ（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,防災,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/133_2021adviser.pdf,https://www.applic.or.jp/page-1862/
134,西村 成弘,にしむら なるひろ,地域情報化アドバイザー,株式会社フィッシュパス 代表取締役,,https://code4sabae.github.io/ictadvisors/img/2021/AD134.jpg,農林水産業,防災,ＡＩ活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/134_2021adviser.pdf,https://www.applic.or.jp/page-1862/
135,沼田 宗純,ぬまだ むねよし,地域情報化アドバイザー,東京大学大学院情報学環/ 生産技術研究所 准教授,災害対策トレーニングセンター DMTC (Disaster Management Training Center),https://code4sabae.github.io/ictadvisors/img/2021/AD135.jpg,防災,人材の育成・活用,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/135_2021adviser.pdf,https://www.applic.or.jp/page-1862/
136,野田 哲夫,のだ てつお,地域情報化アドバイザー,島根大学法文学部 教授,中国情報通信懇談会 地域情報化・コンテンツ部会 部会長,https://code4sabae.github.io/ictadvisors/img/2021/AD136.jpg,地域ビジネス,シェアリングエコノミー,オープンデータ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/136_2021adviser.pdf,https://www.applic.or.jp/page-1862/
137,長谷川 陽子,はせがわ ようこ,地域情報化アドバイザー,情報教育アナリスト・デジタルアーキビスト,,https://code4sabae.github.io/ictadvisors/img/2021/AD137.jpg,教育情報化／情報教育,人材の育成・活用,地域ビジネス,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/137_2021adviser.pdf,https://www.applic.or.jp/page-1862/
138,畑井 克彦,はたい かつひこ,地域情報化アドバイザー,元自治体教育委員会 指導主事（情報担当）,（公）集団力学研究所 主任研究員,https://code4sabae.github.io/ictadvisors/img/2021/AD138.jpg,人材の育成・活用,教育情報化／情報教育,医療・介護・健康,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/138_2021adviser.pdf,https://www.applic.or.jp/page-1862/
139,濱田 真輔,はまだ しんすけ,地域情報化アドバイザー,大阪経済大学 客員教授,キッズデザイン協議会 フェロー,https://code4sabae.github.io/ictadvisors/img/2021/AD139.jpg,防災,人材の育成・活用,教育情報化／情報教育,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/139_2021adviser.pdf,https://www.applic.or.jp/page-1862/
140,濱田 安之,はまだ やすゆき,地域情報化アドバイザー,株式会社農業情報設計社 代表取締役 CEO,,https://code4sabae.github.io/ictadvisors/img/2021/AD140.jpg,農林水産業,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/140_2021adviser.pdf,https://www.applic.or.jp/page-1862/
141,早瀬 公夫,はやせきみお,地域情報化アドバイザー,元静岡県掛川市ＩＴ政策課 課長補佐,掛川タクシー株式会社 代表取締役,https://code4sabae.github.io/ictadvisors/img/2021/AD141.jpg,観光,教育情報化／情報教育,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/141_2021adviser.pdf,https://www.applic.or.jp/page-1862/
