https://schema.org/identifier,https://schema.org/name,https://schema.org/alternateName,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/jobTitle,https://schema.org/image,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/knowsAbout,https://schema.org/publishingPrinciples,https://schema.org/isBasedOnUrl
29,牛島 清豪,うしじま せいごう,地域情報化アドバイザー,株式会社ローカルメディアラボ 代表取締役,内閣官房IT総合戦略室 オープンデータ伝道師,https://code4sabae.github.io/ictadvisors/img/2021/AD029.jpg,オープンデータ,地域情報化計画・官民データ計画,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/029_2021adviser.pdf,https://www.applic.or.jp/page-1862/
30,宇田川 真之,うだがわ さねゆき,地域情報化アドバイザー,国立研究開発法人 防災科学技術研究所 災害過程研究部門 主幹研究員,,https://code4sabae.github.io/ictadvisors/img/2021/AD030.jpg,防災,,,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/030_2021adviser.pdf,https://www.applic.or.jp/page-1862/
31,浦田 真由,うらた まゆ,地域情報化アドバイザー,内閣官房IT総合戦略室 オープンデータ伝道師,名古屋大学大学院情報学研究科 講師,https://code4sabae.github.io/ictadvisors/img/2021/AD031.jpg,オープンデータ,地域情報化計画・官民データ計画,スマートシティ,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/031_2021adviser.pdf,https://www.applic.or.jp/page-1862/
32,円城寺 雄介,えんじょうじ ゆうすけ,地域情報化アドバイザー,宇宙航空研究開発機構（JAXA） 新事業促進部 主任（招聘職員）,佐賀県政策部 ディレクター（出向中）,https://code4sabae.github.io/ictadvisors/img/2021/AD032.jpg,５Ｇ,その他,医療・介護・健康,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/032_2021adviser.pdf,https://www.applic.or.jp/page-1862/
33,遠藤 守,えんどう まもる,地域情報化アドバイザー,名古屋大学大学院情報学研究科 准教授,,https://code4sabae.github.io/ictadvisors/img/2021/AD033.jpg,オープンデータ,地域情報化計画・官民データ計画,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/033_2021adviser.pdf,https://www.applic.or.jp/page-1862/
34,遠藤 勇一,えんどう ゆういち,地域情報化アドバイザー,北九州市 八幡東区役所 国保年金課 保険料収納強化担当係長,,https://code4sabae.github.io/ictadvisors/img/2021/AD034.jpg,自治体システム／セキュリティ／地域情報プラットフォーム,自治体システムの標準化・共通化,マイナンバー,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/034_2021adviser.pdf,https://www.applic.or.jp/page-1862/
35,大澤 昌,おおさわ まさし,地域情報化アドバイザー,株式会社ＡＳＴコンサルタント 代表取締役,,https://code4sabae.github.io/ictadvisors/img/2021/AD035.jpg,ＲＰＡ導入,自治体システム／セキュリティ／地域情報プラットフォーム,自治体システム／セキュリティ／地域情報プラットフォーム,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/035_2021adviser.pdf,https://www.applic.or.jp/page-1862/
36,大島 正美,おおしま まさみ,地域情報化アドバイザー,一般社団法人データクレイドル 理事,株式会社まちケア 取締役,https://code4sabae.github.io/ictadvisors/img/2021/AD036.jpg,オープンデータ,地域情報化計画・官民データ計画,人材の育成・活用,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/036_2021adviser.pdf,https://www.applic.or.jp/page-1862/
37,太田垣 恭子,おおたがき きょうこ,地域情報化アドバイザー,内閣官房IT総合戦略室オープンデータ伝道師,ANNAI Inc. 代表取締役副社長 / Code for Kyoto 代表,https://code4sabae.github.io/ictadvisors/img/2021/AD037.jpg,テレワーク,オープンデータ,働き方,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/037_2021adviser.pdf,https://www.applic.or.jp/page-1862/
38,大高 利夫,おおたか としお,地域情報化アドバイザー,藤沢市役所 情報システム課 課長補佐,,https://code4sabae.github.io/ictadvisors/img/2021/AD038.jpg,自治体システム／セキュリティ／地域情報プラットフォーム,防災,地域情報化計画・官民データ計画,https://www.applic.or.jp/prom/chiiki_adviser/R3_profile/038_2021adviser.pdf,https://www.applic.or.jp/page-1862/
